Category,Facility Name,Name (Marathi),Amenity,Operator,Phone,Address,Dist.Dam(km),Pip Flooded?,Pip Depth(m),Pip Arrival(h),Pip Evac,Pip Evac Window,Ovt Flooded?,Ovt Depth(m),Ovt Arrival(h),Ovt Evac,Ovt Evac Window
Electricity Substation,Electricity Substation,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Hospital,—,hospital,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Temple / Place of Worship,Ghatshil temple,—,place_of_worship,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bus Station,Bus Station,—,bus_station,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
School,School,—,school,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Dam,Dam,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Apsinga Road,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bus Stop,Bus Stop,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Kshirasagar Hospital,—,hospital,—,—,"Latur Road, Lohia Mangal Karyalay, Tuljapur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bus Stop,Bus Stop,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bus Stop,Bus Stop,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bus Stop,Bus Stop,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Water Well,Water Well,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Kutwal Multi Speciality Hospital,—,hospital,—,—,"Tuljapur-Akkalkot Road, Vivekanand Nagar, Tuljapur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Hospital,Kadam Hospital,—,hospital,—,—,"Latur Road, Behind Bus Depot, Lohia Mangal Karyalay, Tuljapur",0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Ambabaiwadi — Ambabaiwadi — Ambabaiwadi,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Tuljapur Bypass,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
Bridge,Bridge,—,—,—,—,—,0.0,False,,,P5,8+ hours,False,,,P5,8+ hours
