osm_id,category,name,name_mr,amenity,office,operator,phone,addr,pip_inund,ovt_inund,dist_dam_km,pip_dep_max,pip_vel_max,pip_arr_min,pip_ev_cod,pip_ev_win,ovt_dep_max,ovt_vel_max,ovt_arr_min,ovt_ev_cod,ovt_ev_win
1371595298,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595299,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595300,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595301,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595302,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595303,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595304,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595305,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595306,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.131,,,,P5,8+ hours,,,,P5,8+ hours
1371595307,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595308,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595309,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595310,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
1371595311,Water Well,Water Well — Raleras — Raleras — Raleras,,,,,,,False,False,12.113,,,,P5,8+ hours,,,,P5,8+ hours
